,state,num_markets,state_pop,log_markets,log_pop
0,Alabama,71,4849377.0,4.2626798770413155,15.394360801054548
1,Arizona,66,6731484.0,4.189654742026425,15.722306182513806
2,Arkansas,59,2966369.0,4.07753744390572,14.902849203921505
3,California,442,38802500.0,6.091309882077698,17.473995235507477
4,Colorado,98,5355866.0,4.584967478670572,15.493702966809579
5,Connecticut,54,3596677.0,3.9889840465642745,15.095520921592664
6,Delaware,28,935614.0,3.332204510175204,13.74895827723989
7,District of Columbia,44,658893.0,3.784189633918261,13.398316433078595
8,Florida,156,19893297.0,5.049856007249537,16.805893398782494
9,Georgia,124,10097343.0,4.820281565605037,16.127782877895758
10,Idaho,37,1634464.0,3.6109179126442243,14.306825479819723
11,Illinois,191,12880580.0,5.25227342804663,16.371231308682514
12,Indiana,144,6596855.0,4.969813299576001,15.702103578275715
13,Iowa,101,3107126.0,4.61512051684126,14.94920874114158
14,Kansas,77,2904021.0,4.343805421853684,14.881606886305637
15,Kentucky,95,4413457.0,4.553876891600541,15.300168840560477
16,Louisiana,57,4649676.0,4.04305126783455,15.3523080977166
17,Maine,66,1330089.0,4.189654742026425,14.100756415252308
18,Maryland,115,5976407.0,4.74493212836325,15.603330109232058
19,Massachusetts,240,6745408.0,5.480638923341991,15.72437253504589
20,Michigan,238,9909877.0,5.472270673671475,16.1090424945238
21,Minnesota,127,5457173.0,4.844187086458591,15.512441448066445
22,Mississippi,45,2994079.0,3.8066624897703196,14.912147229719148
23,Missouri,166,6063589.0,5.111987788356544,15.617812426962523
24,Montana,52,1023579.0,3.9512437185814275,13.838815867230824
25,Nebraska,55,1881503.0,4.007333185232471,14.447581483486854
26,Nevada,26,2839099.0,3.258096538021482,14.858997306280717
27,New Hampshire,69,1326813.0,4.23410650459726,14.098290384017284
28,New Jersey,104,8938175.0,4.6443908991413725,16.005841987608093
29,New Mexico,56,2085572.0,4.02535169073515,14.550553716118136
30,New York,450,19746227.0,6.1092475827643655,16.798472993086644
31,North Carolina,163,9943964.0,5.093750200806762,16.112476291892598
32,North Dakota,16,739482.0,2.772588722239781,13.51370522006596
33,Ohio,184,11594163.0,5.214935757608986,16.26601233977902
34,Oklahoma,34,3878051.0,3.5263605246161616,15.170843265807077
35,Oregon,122,3970239.0,4.804021044733257,15.19433685236267
36,Pennsylvania,144,12787209.0,4.969813299576001,16.363955932384844
37,Rhode Island,34,1055173.0,3.5263605246161616,13.869215292491537
38,South Carolina,67,4832482.0,4.204692619390966,15.390870765277551
39,South Dakota,23,853175.0,3.1354942159291497,13.656719963696684
40,Tennessee,82,6549352.0,4.406719247264253,15.694876671419701
41,Texas,127,26956958.0,4.844187086458591,17.109752003814272
42,Utah,31,2942902.0,3.4339872044851463,14.894906727306774
43,Vermont,68,626562.0,4.219507705176107,13.34800301091182
44,Virginia,181,8326289.0,5.198497031265826,15.934928416679941
45,Washington,131,7061530.0,4.875197323201151,15.770172299871383
46,West Virginia,56,1850326.0,4.02535169073515,14.43087239774647
47,Wisconsin,196,5757564.0,5.278114659230517,15.566025026550932
48,Wyoming,31,584153.0,3.4339872044851463,13.277918213799316
